mandi_id,state,district,mandi,lat,lon,location_quality,dist_from_state_km
8786736006,Andhra Pradesh,East Godavari,RAJAHMUNDRY APMC,17.186218,81.38442,exact,113.47421191390653
7900799486,Andhra Pradesh,East Godavari,RAJANAGARAM APMC,17.077459,81.899703,exact,150.32046569232492
8647764460,Andhra Pradesh,East Godavari,RAMACHANDRAPURAM APMC,16.98351,80.73186,exact,133.9988792299481
1570080574,Andhra Pradesh,East Godavari,"RAVULAPALEM(MY),RBZ APMC",17.3224612,82.3662129,approx,168.10098009710364
8745497521,Andhra Pradesh,East Godavari,RAZOLE APMC,16.476136,81.841948,exact,204.9283683129839
6016126551,Andhra Pradesh,East Godavari,SAMPARA APMC,16.909112,82.106239,exact,178.61428953275143
6496130057,Andhra Pradesh,East Godavari,TELLAREVU APMC,17.3224612,82.3662129,approx,168.10098009710364
3649614585,Andhra Pradesh,East Godavari,TUNI APMC,17.37446,82.51627,exact,178.70559418699045
6214190714,Andhra Pradesh,Guntur,BAPATLA APMC,16.498648000000003,80.49365040003681,approx,192.79611441894667
2218298410,Andhra Pradesh,Guntur,CHILAKALURIPET APMC,16.498648000000003,80.49365040003681,approx,192.79611441894667
1662043992,Andhra Pradesh,Guntur,DUGGIRALA APMC,16.498648000000003,80.49365040003681,approx,192.79611441894667
93646090,Andhra Pradesh,Guntur,"GANDHI IRVIN PARK(TENALI),RBZ APMC",16.2377735,80.6464219,exact,216.94749217541266
3709390107,Andhra Pradesh,Guntur,GUNTUR APMC,16.498648000000003,80.49365040003681,approx,192.79611441894667
6247510836,Andhra Pradesh,Guntur,IPUR APMC,16.498648000000003,80.49365040003681,approx,192.79611441894667
7670665361,Andhra Pradesh,Guntur,KROSURU APMC,16.513824,80.5142766,approx,190.5345601802822
4300922353,Andhra Pradesh,Guntur,KUCHINAPUDI APMC,16.513824,80.5142766,approx,190.5345601802822
4454580627,Andhra Pradesh,Guntur,MACHARLA APMC,16.498648000000003,80.49365040003681,approx,192.79611441894667
7437290367,Andhra Pradesh,Guntur,MANGALAGIRI APMC,16.498648000000003,80.49365040003681,approx,192.79611441894667
