,PALAMANER,AMBA,BHAGWANPUR,RAMNAGAR,BARDEWRI,UNA,NARAINGARH,SHAHZADPUR,CH. DADRI,GURGAON,SOHNA,BARWALA(HISAR),HANSI,HISSAR,NARWANA,BABAIN,PIPLI,THANESAR,PANIPAT,ROHTAK,DABWALI,ELLANABAD,SMY BAIJNATH,SMY DHARAMSHALA,SMY DHANOTU,PANDARA,RAMANAGARA,AURAD,DHARWAR,ALANDA,SHAHAPUR,BADWANI,ALAMPUR,SHAHAPUR,KORAPUT,BARIPADA,FAZILKA,JALALABAD,HOSHIARPUR,NABHA,MALERKOTLA,BIKANER (F&V),SRIGANGANAGAR (F&V),BHINMAL,JALORE,PRATAPGARH,FATEHPUR,SIKAR,UDAIPUR (F&V),ALAMPUR,AGRA,ALIGARH,KHAIR,AMROHA,HASANPUR,BARABANKI,BAREILLY,NAJIBABAD,BULAND SHAHR,FARUKHABAD,FATEHPUR,HAPUR,SHADABAD,CHHIBRAMAU,GOLAGOKARNATH,MEERUT,PURANPUR,PRATAPGARH,PRAYAGRAJ,SIRSA,LALGANJ,RAMPUR,GANGOH,CHANDAUSI,SAMBHAL,JALALABAD,POWAYAN,SHAMLI,UNNAO,DEHRADOON,RISHIKESH,MANGLAUR,ROORKEE,HALDWANI,RAMNAGAR,KASHIPUR,KHATEEMA,RUDRAPUR,SITARGANJ,GANGARAMPUR
2026-01-05,2283.0994354483923,794.7713803513212,725.4816463584444,699.1350363668498,1343.2941977906862,884.1375394903343,739.3630606200772,743.9516379475466,733.6147983981874,745.2721103928575,739.2989337980831,741.158236677434,743.3192574407389,744.3761884627762,745.2538371243179,745.3447206745343,740.3257619071301,718.0207478870457,720.5801768421393,706.8662038265155,743.086067399154,739.9752243161463,820.9303679304645,821.0541901955669,778.8474218736843,1313.297119251566,464.66498771855703,992.8484595829281,684.0062110645506,553.6004106132201,862.1896786515241,960.94968591121,754.8148649865761,852.5981500084988,2191.523226369772,1183.777971773219,766.244809512928,685.5411461519287,702.4590004334282,679.1993226564832,661.8572431277581,801.8613783223415,1129.0602747105386,1129.292896390472,1130.8523213775663,1128.7178794220988,713.6935571746335,716.7080318548012,978.6448359540262,891.745613546451,714.7764838190691,739.5776249593786,716.1260314138933,739.3379539019642,744.662816330435,716.8781066663698,759.6516053296442,767.396313193264,711.7662178598707,715.1893864243397,712.280919024635,712.8744209017771,715.065921367934,719.0174243646601,742.3431853305767,745.3618653138252,716.1740199147404,743.2071470151308,711.7215793366804,717.5768523508352,711.5016310110076,760.2001614142889,730.1655982628779,714.7562923512726,717.5876064853106,730.4282018052094,749.6001730472374,731.0456003033197,720.0187355250621,790.6974614931901,788.1198914697277,765.4905764424693,765.2676931898054,788.0062990202281,792.6214108304434,784.843070043356,786.7340224448129,779.7675594201022,783.3024863420853,697.2523747821964
2026-01-06,2175.073692376056,811.3498870017308,760.1183212300339,741.8847944196979,1182.192654044102,887.0783197732405,747.5387335753719,743.948022525311,739.7398782849655,739.8445505578519,747.5701428215027,745.5756971243839,744.4918189614292,742.2436045084454,745.0024837746964,742.909729733098,741.6851916211758,738.2629255088914,731.9168420310723,730.3878459105795,745.5564158936984,743.6313925446249,775.1726227664735,777.712136184657,770.0726818650712,1047.047090612149,537.5372772633152,912.9591016036812,688.5925055455585,650.2506297180305,842.2361076407175,901.4345596686293,758.3835692033932,855.5529265588931,2128.9553057039066,1087.7398011590747,762.1986257708152,722.7743276402487,740.6518773281679,723.8015962184841,715.9783654837458,776.5729897917461,1184.957771508223,1182.9641264693546,1182.2615282368458,1179.8996551935584,718.7800215148401,720.361837538285,887.9262362537454,874.089459455443,711.5172641150126,743.653881302875,710.2226160444751,740.9298328688951,743.9051853117093,715.5920168608002,747.3980981586541,752.354812376248,713.4546735478647,716.7067226678423,711.4917687867569,708.9450725551344,715.4272668908651,710.3840498300866,741.4544212643405,747.5474811215761,711.8816903773434,748.6276302070165,711.0998526095905,714.648243867944,708.4044684360981,755.5313074590266,739.6500632840464,711.2632661000928,712.741379112042,730.2177597375039,741.9499762696294,743.274685546553,719.3301175335042,770.4888067587843,772.4819158517869,754.9002194137065,757.7168383534522,775.2548288240848,773.5338112289978,770.3928918614313,769.0769704025465,760.2122592724035,770.5374334541052,737.0148893679966
2026-01-07,2099.454502817765,794.6523211411545,764.4371974327809,760.4140128631631,1101.5577495968862,878.0633317575484,745.9521353717067,747.2185079827087,742.2556816941852,744.1402511101277,745.9170526804658,747.6023879306466,750.06789842629,747.7104612440941,744.0095597297403,744.2684036091437,747.8180999213083,741.3814576478785,741.8984331074447,738.1140281896182,744.7476290149756,743.1436131623097,781.7650096726899,776.2030087011578,764.0946993327524,936.6037390286408,598.0775430211576,880.1209277372985,716.9447929518926,700.1355493826999,830.6359037230877,865.0246461221723,751.5973536835223,855.6691995831919,2087.6929730475736,1054.0646800354898,761.6307481542672,736.9367482369968,748.5720793485589,733.0643714995787,725.2065105829679,778.055339733006,1171.7969839979737,1163.7970213369686,1170.2074388987896,1165.9478799918054,725.9477888363414,725.5024434520788,845.4848765117521,863.0762857952041,707.7618172303244,747.397165746098,704.3019514515235,741.5659826379665,746.7434986184712,711.1022834007998,746.4094427283737,755.6926722369508,705.4633987862483,707.0136312155657,707.741374893625,705.4143162553228,711.9705154524886,703.2705048352686,734.4182272792458,746.7808441314842,709.2134558972566,743.3221014315795,702.9151800715513,706.0642988823072,703.895784669149,752.5823719717439,745.8516999467241,707.4354891258367,705.4070907582105,728.3279607146777,739.6569787389216,743.6974564321664,715.6653047648034,768.0055839207946,768.3916459272351,758.53644379584,756.3242786074138,765.6087516653096,769.1359284211653,773.8713380606828,766.0802757523182,758.9469009558915,769.6800814941573,755.8567087253931
2026-01-08,2044.2995965938157,774.0704875242052,759.6208637099345,768.8964897932372,1056.0221531414045,865.6173440960634,745.151017240962,744.8908093233559,748.0727644107559,744.5643161343569,746.2714189884729,744.4236004464233,741.0445840514179,744.6041025788364,744.9915280264026,746.0018778202298,748.0428110061365,740.3771916639864,740.7733270686498,735.3809757196627,745.3442429262846,742.8900101029611,778.8815396067544,779.2579963955118,761.0066557156144,885.2001919802665,639.0315633014002,868.0107786397547,752.5331273538467,730.4774863737127,830.8937196088194,847.3684284486957,749.5679127881396,857.0156506536478,2056.9899708766147,1037.7017906108917,762.5794093256986,738.074198953562,745.3265158756096,734.2741637659307,727.0508615607368,771.9718131082179,1156.416026953212,1154.493535125699,1158.9939505135135,1155.8335153766736,726.9245000664589,726.0896142951814,828.9026657369811,856.2435439799103,704.8704885672072,742.9932116757358,701.8992317126438,739.4128086891868,747.1778651211812,708.1549201545989,747.8488261197798,752.8964230907773,703.6129402125047,704.1183659510432,701.2667863807443,701.4857342458948,708.0019330431626,707.8132085376878,730.7009222871192,747.38815816024,707.9505554145887,745.862450395639,702.2135438818713,705.8876503346258,702.6979231700371,752.2889218839291,745.3634690447994,705.4208501752555,701.8967204668535,724.3983022924556,737.2675712253404,742.3661832899253,714.2469950667539,764.8430219633264,767.0658526116101,755.9471719366766,756.392005187323,767.4062218493841,770.0191400378535,772.2065320823774,765.7263801031238,759.5424972811211,767.6717076682831,763.0559462484152
2026-01-09,2012.4110129321864,763.2260862515373,751.5148868083746,771.9850028348384,1036.1029883963613,852.2931859501058,742.4107649137645,744.2195889994989,738.5593848759991,741.7683289173849,745.578125442372,744.5329834752526,743.0850733907819,743.9798036205834,740.4600261046994,742.6451284256156,744.5477030485299,741.3574639555237,737.9909764206725,733.506221487563,743.1249161904404,743.5630003821574,779.4531000048701,783.7737861785012,763.6718626504854,865.8887146258044,673.5001827705623,861.9006061636679,767.2393776693048,743.6736234737658,833.2059165844901,836.5802683120528,747.2804323160096,852.6798484717132,2044.7345541665077,1027.0825681357826,763.9782781945732,734.7843793068562,743.4714074835248,733.0792094190567,724.441727380007,773.2405646951671,1162.1334802927604,1165.3025091588152,1161.5802695145126,1166.8502222813156,721.7836971726122,724.1659326001063,817.4890435695938,853.1697860148747,702.9398880510447,740.2308664028969,698.3591081536279,738.6798276208085,743.2220879031648,703.6336871602392,748.0235729673533,754.2619732087313,699.0395090837488,702.4214670878985,700.41316895095,699.3432181770773,707.4831599448809,698.8158408603681,731.6080994243831,744.0159846886277,704.5815711576089,742.3206944108674,700.4898355668317,705.6263071537744,702.387506276763,748.5875176916184,744.3716676513906,696.7636970741313,700.6019230455535,726.1792024516521,735.2314891316223,744.7156144418863,706.5541606918376,764.7069001122053,764.8256331503267,752.2634970035406,756.2985951497894,765.3685193182439,769.4502702889353,764.6488791767574,766.262879790803,760.0579202951916,772.5579973231386,771.5596563796485
2026-01-10,1991.0874345714278,757.9914452318272,746.1807857350402,767.3036799908801,1033.5897483899537,846.3840431308507,747.1069538519877,740.323384613678,735.4197424102756,737.713903616024,744.9277800951604,747.3426859495411,743.2338334423677,737.7271505542585,746.5842960655511,740.6912654476426,742.1273327313353,737.3255138916713,736.4973214470732,736.4691109542828,744.1804486323751,739.0486272415852,778.9054246288507,780.919284184283,761.9373335067434,854.094161986908,696.0560056521266,868.5785834765271,771.5635196092506,757.1356202581807,832.3585602629479,830.1787769169491,744.5861669953297,849.7729911898717,2038.7606690097282,1024.7454725536968,763.7425197758089,735.4509252091067,746.1546592530373,729.6189999721967,725.270426912051,772.4253436621829,1166.833728268805,1164.2748869805957,1167.8512020818016,1168.483264116735,720.429651443493,720.0263235040393,811.890007006986,854.1866588812223,700.901714231009,743.3131014298463,698.27763825142,736.774661793346,742.5727709545324,699.5210883654352,743.5724507648781,750.8500378968093,698.6720645208319,698.646169587261,698.6916540938353,700.4220745443811,708.077115589225,702.2730082901954,729.2804159206424,740.1023005169403,703.5526584631184,745.1889598315565,699.6613856110118,700.3795984792657,698.1102825610684,746.2374330999614,740.5070334790878,696.6445671576986,701.9231297801111,719.244504886995,733.9905366127101,740.7096090650776,706.3167036805546,764.0864334401065,762.4756642065996,754.6326599654241,755.4359885887905,765.0205571620686,767.3916501406787,764.242203976073,768.2104340766433,759.0686015151382,768.7174560485503,770.7222344793902
2026-01-11,1975.9100207982553,750.3933329154974,742.6785770536262,762.2149507716703,1023.8665394821111,839.6878155764169,746.8395093509871,740.272178259095,735.130828824564,739.3195322947081,745.5519473632364,742.4747811096884,740.986272519444,739.1448509464508,742.5994247897291,742.1624710659581,744.7344982439239,737.0709929361101,735.8286485619938,733.2292047042988,742.0497882716343,736.4693012592439,776.602866054785,779.1592056071572,761.3734074926099,844.4070873248526,703.9531405481423,860.7072278437334,778.8085141851247,758.7663249911312,832.8863735358058,827.6448922425408,745.4233393900901,848.1612004924738,2032.8818498756577,1021.2055089655796,761.6170832988778,729.9621608846038,738.6048121106247,730.0546882972915,720.6890354494026,771.0936160781702,1170.3194333139706,1167.5878359577682,1164.9547150321623,1166.6401695518605,722.768423196222,719.1712649283658,809.1615831564574,852.9006049210619,699.1714155388312,739.344778371687,701.4201022020329,734.7063788093676,742.924748825766,695.9735362802672,743.5375409640384,752.3906811364491,703.1260435188262,700.0193116027204,697.6770323372292,701.3488882730364,702.922583774272,702.016804463528,727.5560736531844,742.4980428164948,699.5208259289823,741.401617933207,695.4747031969678,698.8283342683989,698.2244136852308,746.2202626823488,741.5019543876604,695.156535227194,700.2395831272718,721.6658776854408,733.8917999989552,743.6950150485775,704.8480820735623,763.1606394448095,765.3552234030514,753.3510323194658,755.376752079852,763.8433627495012,764.6678080395178,765.5983519249885,762.4361949701788,755.7540725110064,768.7382926899114,757.6255443994587
