,AGRA,ALIGARH,AMROHA,BABAIN,BARABANKI,BAREILLY,BARIPADA,BHAGWANPUR,BHINMAL,CHANDAUSI,DABWALI,ELLANABAD,FATEHPUR,FAZILKA,GANGARAMPUR,GANGOH,GOLAGOKARNATH,GURGAON,HALDWANI,HANSI,HAPUR,HASANPUR,JALALABAD,JALORE,KASHIPUR,KHAIR,KORAPUT,LALGANJ,MALERKOTLA,MEERUT,NABHA,NAJIBABAD,NARAINGARH,NARWANA,PALAMANER,PANIPAT,PIPLI,POWAYAN,PRATAPGARH,PRAYAGRAJ,PURANPUR,RAMNAGAR,RAMPUR,RISHIKESH,ROHTAK,ROORKEE,RUDRAPUR,SAMBHAL,SHAHZADPUR,SHAMLI,SIKAR,SIRSA,SITARGANJ,SOHNA,THANESAR,UNA,UNNAO
2026-01-05,703.6223303697551,726.0564053175981,728.6917874400544,735.1835621609853,702.3423491943872,741.3223711449174,1083.4197542719644,674.3635873534225,1459.8623010859053,699.9174860111477,735.0388173832284,728.5682795352903,702.2627346625434,734.7495751639773,675.8897898842691,723.5903150225074,729.4813091219604,729.4787276892228,762.8927058890868,730.0526071246907,701.8639213289811,735.8414791603002,715.0634264204803,1464.1407472648807,788.1745522733073,702.9100884003253,2397.9922444214794,702.9337683429594,639.3064291044258,734.2088635283311,659.5742872948814,753.8535665934417,727.3364897541733,730.7694992755924,2409.5776175490387,715.5308342991756,725.9618365291068,736.0164350422475,737.1321528539316,702.4328365155263,700.1859927329635,763.9288363123317,742.2065176133269,761.6351962629415,696.9139060327976,757.6527136159104,762.7375399579479,705.7163885718386,733.6671069106508,729.8058107950859,686.0807485242781,701.8345255188303,790.886962236837,726.9050627839584,714.0255742112545,846.1126420517627,702.1547051813711
2026-01-06,696.2361255556533,716.701225173422,715.4817332994625,716.5579184588493,699.2811797665582,723.9810192714866,1086.3114361546864,695.1357992916531,1422.9507082389127,695.8055793692533,720.3023330033761,717.1146190567356,695.3805131978905,716.8272768928189,696.5423164968072,717.3712883007123,716.014643473722,720.1390252009063,728.4199827605858,724.1269311083945,695.214424921514,720.7348043683311,709.1031117694282,1425.0606065193685,750.4738982739975,694.4227549671065,2392.1206477477285,696.9087190016584,679.2567978188699,719.78877202037,697.6860195934877,732.3321762523387,718.178454363005,719.239599000225,2396.938809799361,712.2850633022599,718.7668583981923,716.2525372744833,719.8313831223569,693.3952628502951,699.2071739700783,726.4173975095447,720.0860914218711,726.8200712884156,709.8120593551633,733.037172853782,729.9933004700579,696.2208516192976,716.7687589917573,721.3370671410759,692.2654183687312,694.9104941301152,745.0346605898169,723.6407422520857,710.935141285201,848.3205352177844,702.4902313993845
2026-01-07,689.626886321714,718.1282776377361,714.854163548231,721.5946888451821,697.059488018156,719.7124141855223,1086.2014000166248,700.339622054184,1418.6165095592462,695.5629657939674,711.6619645874963,713.1577493076978,693.2161331293879,717.9396092445343,711.3683502890069,721.5567699616296,710.1527628738844,715.1147165128,725.2857333156009,717.958278727399,691.4857422972522,722.2124727103563,702.0193850230783,1418.7462527879625,744.2896418848339,690.7514060619427,2384.8925936934625,695.6462567282963,688.5002357265621,725.7111858946598,704.6737368779671,730.486456661468,722.3325582839913,717.496887559894,2384.730062912282,717.7064235269925,725.0080887852149,713.1757564223532,724.9072871493647,688.9029789895748,693.8468578554474,725.1714695257614,718.0962907917572,724.106797871272,713.6203284015147,735.2466852684676,723.3315019360817,689.005768737079,716.3479280313023,725.7725812507364,696.0955460614009,694.614157952838,745.159749968486,728.4205003176862,715.2676223890572,844.8666633091599,695.9741027457342
2026-01-08,694.8379617326972,716.8804607460531,715.2728392744473,713.532409961335,693.7152957697742,717.7545939952022,1091.778613682132,706.9486879011533,1427.767149311117,687.5924052890047,714.0998054846988,714.7230326562884,691.4076093785917,716.9786237799509,732.9642344708725,724.1136422773845,708.2471113558801,714.7459881835531,724.7826107695836,719.8272171426903,689.930022533441,720.9000646596756,700.5983215842494,1427.2495187696559,743.9222956354142,693.2348009154442,2385.6619017441144,694.1354675090978,689.7599034478137,728.0968868526993,704.210970132276,730.6204848624164,722.1140722224716,716.6078734496731,2381.2601243885088,718.4617133816599,721.3046871090384,710.5547405275861,726.325817046109,692.0258398075009,692.4266047043923,718.1572205620895,718.8596104747403,721.6315847890355,716.2925918837275,733.5156381453503,725.3302872218321,694.5926540579961,714.815640842556,726.2344275929499,694.7874331416241,696.0212267333826,743.6252789464193,725.0784234772535,720.8013636959217,842.1105777015316,693.6903247676419
2026-01-09,692.555323761619,714.3182421906062,710.5755475472887,714.4913683106785,695.3134775808318,714.3248515219218,1090.2930600688705,713.5520168955527,1426.505588930648,693.9814892756237,711.3931210143955,711.8456065791539,693.1782583921612,714.0223890679074,745.5091730864697,720.4430098477154,707.0896277280324,716.1252079795487,723.9557837425518,718.5953956559288,687.4426571930687,716.7492204149371,699.3011791016776,1428.3902029497417,749.0458420449245,688.3420953380918,2389.92289033832,692.9621345403899,681.8245055027131,723.8200909784557,697.9443710050873,726.6338796052494,720.8104136676177,720.746226612541,2378.2271120454284,714.0876898522281,716.3852889522668,712.0435317916449,723.3712956679921,689.2880580573826,693.6102096540412,717.7674919167682,714.88846661558,718.1115629273941,716.6897484864226,729.0596049378296,722.0803327655963,689.2840103642984,714.1073565773092,726.2030233694286,693.1809971464013,692.9325169462255,738.8743534323949,721.7569510017247,715.4280306139495,841.3902995036406,694.6598415284775
2026-01-10,688.352286992701,710.8950159744572,712.0219434356844,714.2052038648928,688.4447912965037,711.0080130793335,1092.6077705071718,716.812968133713,1430.1703449357751,689.4202690138808,711.8483133224063,710.0675273948058,689.1462521406052,716.5741200733959,750.6011847400279,726.9085197825832,700.6337618756328,711.8789268028618,720.2341455145844,715.0077739514811,685.9809692334936,718.6332827326341,699.5175714446217,1422.7399547349967,740.354504051464,687.3203401225561,2384.6265178622843,686.4405968256029,690.119599122384,728.122048192177,704.0735649888579,724.9050849501397,714.5820905666682,716.5097251712074,2372.6893764857778,715.5121407826773,717.3119119361469,708.8312758638698,723.6972841179547,687.2633226711093,690.9733910728011,717.0029882459187,712.7094893745729,721.2991764827959,713.3756973655536,731.5149847124412,715.4078080752621,687.7345796922848,710.3475381380011,726.1453901948499,692.3401762694317,685.6386614789449,742.4903559901762,719.4077853197699,720.3776277562138,840.3453369092981,685.6297215665529
2026-01-11,684.8329382584499,709.9285724808839,714.2203648811271,712.8558819186447,689.1592448546722,708.119347382647,1091.0964004723814,716.1897521612153,1426.7885687033995,688.9963391538249,706.417560610818,707.3974762890284,686.5553017614278,718.3818580527947,738.8711295874868,724.3598072772564,704.5204159914009,709.8538579662231,713.9597110797492,717.6369208578725,686.1979046308074,719.0347289892203,697.8378726381951,1429.319163187194,739.3492122260577,684.860277853406,2385.7422281442473,689.1874424288673,688.2800564872075,720.8592845023281,698.7426709347901,725.5313966891106,716.9237735232139,715.8972075259231,2371.25787899447,717.4355693128742,722.1436558359703,706.9033814594027,723.3554860103693,682.8526764519697,689.3638927720948,715.7054684912846,712.020879058274,717.6168691137359,714.7545302164696,731.7990346426446,719.4218161049405,691.7600055764894,708.9521782075515,722.3517194430834,693.7611661913076,683.7292416138464,739.3747929877152,714.7711770385856,719.0839874529966,842.2671474825095,689.3823198995125
