state,district,market,query_address,reason
Punjab,Bhatinda,Bhagta Bhai Ka APMC,"Punjab, Bhatinda, Bhagta Bhai Ka APMC mandi",failed
Punjab,Bhatinda,Talwandi Sabo APMC,"Punjab, Bhatinda, Talwandi Sabo APMC mandi",failed
Punjab,Jalandhar,Jalandhar City(Kartar Pur Dana mandi) APMC,"Punjab, Jalandhar, Jalandhar City(Kartar Pur Dana mandi) APMC mandi",failed
Punjab,Ludhiana,lakhowal APMC,"Punjab, Ludhiana, lakhowal APMC mandi",failed
Punjab,Mansa,Ahemadpur APMC,"Punjab, Mansa, Ahemadpur APMC mandi",failed
Punjab,Mansa,Boha APMC,"Punjab, Mansa, Boha APMC mandi",failed
Punjab,Mansa,Mansa (Bhamekalan) APMC,"Punjab, Mansa, Mansa (Bhamekalan) APMC mandi",failed
Punjab,Moga,Nihal Singh Wala (Rautan) APMC,"Punjab, Moga, Nihal Singh Wala (Rautan) APMC mandi",failed
Punjab,Patiala,Samana APMC,"Punjab, Patiala, Samana APMC mandi",failed
Rajasthan,Barmer,Barmer APMC,"Rajasthan, Barmer, Barmer APMC mandi",failed
Rajasthan,Barmer,Chohtan APMC,"Rajasthan, Barmer, Chohtan APMC mandi",failed
Rajasthan,Barmer,Dhorimanna APMC,"Rajasthan, Barmer, Dhorimanna APMC mandi",failed
Rajasthan,Beawar,Beawar APMC,"Rajasthan, Beawar, Beawar APMC mandi",failed
Rajasthan,Beawar,Jaitaran APMC,"Rajasthan, Beawar, Jaitaran APMC mandi",failed
Rajasthan,Bharatpur,Bharatpur APMC,"Rajasthan, Bharatpur, Bharatpur APMC mandi",failed
Rajasthan,Bharatpur,Bhusawar Bair APMC,"Rajasthan, Bharatpur, Bhusawar Bair APMC mandi",failed
Rajasthan,Bikaner,Pugal Road (Grain) APMC,"Rajasthan, Bikaner, Pugal Road (Grain) APMC mandi",failed
Rajasthan,Pali,Sojat Road APMC,"Rajasthan, Pali, Sojat Road APMC mandi",failed
Rajasthan,Shahpura,Shahpura APMC,"Rajasthan, Shahpura, Shahpura APMC mandi",failed
Rajasthan,Sirohi,Abu Road APMC,"Rajasthan, Sirohi, Abu Road APMC mandi",failed
Rajasthan,Swai Madhopur,Sawai Madhopur APMC,"Rajasthan, Swai Madhopur, Sawai Madhopur APMC mandi",failed
Sikkim,South Sikkim (Namchi),Melli APMC,"Sikkim, South Sikkim (Namchi), Melli APMC mandi",failed
Sikkim,West Sikkim (Gyalsing),Gyalsing APMC,"Sikkim, West Sikkim (Gyalsing), Gyalsing APMC mandi",failed
Tamil Nadu,Krishnagiri,Pochampalli APMC,"Tamil Nadu, Krishnagiri, Pochampalli APMC mandi",failed
Tamil Nadu,Madurai,Anna nagar(Uzhavar Sandhai ) APMC,"Tamil Nadu, Madurai, Anna nagar(Uzhavar Sandhai ) APMC mandi",failed
Telangana,Khammam,"Pavilion Ground,Khammam,RBZ APMC","Telangana, Khammam, Pavilion Ground,Khammam,RBZ APMC mandi",failed
Telangana,Mahbubnagar,Wanaparthy Road APMC,"Telangana, Mahbubnagar, Wanaparthy Road APMC mandi",failed
Tripura,North Tripura,Dasda APMC,"Tripura, North Tripura, Dasda APMC mandi",failed
Tripura,North Tripura,Kanchanpur,"Tripura, North Tripura, Kanchanpur mandi",failed
Tripura,South Tripura,Barpathari APMC,"Tripura, South Tripura, Barpathari APMC mandi",failed
Tripura,South Tripura,Kalsi APMC,"Tripura, South Tripura, Kalsi APMC mandi",failed
Tripura,South Tripura,Manubazar,"Tripura, South Tripura, Manubazar mandi",failed
Uttar Pradesh,Kushinagar,Tamkuhi road APMC,"Uttar Pradesh, Kushinagar, Tamkuhi road APMC mandi",failed
West Bengal,Jalpaiguri,Jalpaiguri Sadar APMC,"West Bengal, Jalpaiguri, Jalpaiguri Sadar APMC mandi",failed
West Bengal,Jalpaiguri,Moynaguri APMC,"West Bengal, Jalpaiguri, Moynaguri APMC mandi",failed
West Bengal,Jalpaiguri,Moynaguri(Dhupguri) APMC,"West Bengal, Jalpaiguri, Moynaguri(Dhupguri) APMC mandi",failed
West Bengal,Alipurduar,Alipurduar APMC,"West Bengal, Alipurduar, Alipurduar APMC mandi",failed
West Bengal,Bankura,Bankura Sadar APMC,"West Bengal, Bankura, Bankura Sadar APMC mandi",failed
West Bengal,Birbhum,Bishnupur APMC,"West Bengal, Birbhum, Bishnupur APMC mandi",failed
West Bengal,Birbhum,Sainthia(Suri) APMC,"West Bengal, Birbhum, Sainthia(Suri) APMC mandi",failed
West Bengal,Coochbehar,Dinhata APMC,"West Bengal, Coochbehar, Dinhata APMC mandi",failed
West Bengal,Coochbehar,Haldibari APMC,"West Bengal, Coochbehar, Haldibari APMC mandi",failed
West Bengal,Coochbehar,Mathabhanga APMC,"West Bengal, Coochbehar, Mathabhanga APMC mandi",failed
West Bengal,Darjeeling,Darjeeling APMC,"West Bengal, Darjeeling, Darjeeling APMC mandi",failed
West Bengal,Darjeeling,Matigara APMC,"West Bengal, Darjeeling, Matigara APMC mandi",failed
West Bengal,Darjeeling,Siliguri APMC,"West Bengal, Darjeeling, Siliguri APMC mandi",failed
West Bengal,Hooghly,Kalipur APMC,"West Bengal, Hooghly, Kalipur APMC mandi",failed
West Bengal,Kalimpong,Kalimpong APMC,"West Bengal, Kalimpong, Kalimpong APMC mandi",failed
West Bengal,Malda,Gajol APMC,"West Bengal, Malda, Gajol APMC mandi",failed
West Bengal,Malda,Samsi APMC,"West Bengal, Malda, Samsi APMC mandi",failed
West Bengal,Medinipur(W),Midnapore Sadar APMC,"West Bengal, Medinipur(W), Midnapore Sadar APMC mandi",failed
West Bengal,Murshidabad,Jiaganj(Lalbagh) APMC,"West Bengal, Murshidabad, Jiaganj(Lalbagh) APMC mandi",failed
West Bengal,Murshidabad,Kasimbazar APMC,"West Bengal, Murshidabad, Kasimbazar APMC mandi",failed
West Bengal,Nadia,Chakdah APMC,"West Bengal, Nadia, Chakdah APMC mandi",failed
West Bengal,Nadia,Kalyani APMC,"West Bengal, Nadia, Kalyani APMC mandi",failed
West Bengal,Nadia,Nadia APMC,"West Bengal, Nadia, Nadia APMC mandi",failed
West Bengal,Nadia,Ranaghat(Kalyani) APMC,"West Bengal, Nadia, Ranaghat(Kalyani) APMC mandi",failed
West Bengal,North 24 Parganas,Habra APMC,"West Bengal, North 24 Parganas, Habra APMC mandi",failed
West Bengal,Paschim Bardhaman,Durgapur APMC,"West Bengal, Paschim Bardhaman, Durgapur APMC mandi",failed
West Bengal,Purba Bardhaman,Kalna APMC,"West Bengal, Purba Bardhaman, Kalna APMC mandi",failed
West Bengal,Sounth 24 Parganas,Baruipur(Canning) APMC,"West Bengal, Sounth 24 Parganas, Baruipur(Canning) APMC mandi",failed
West Bengal,Sounth 24 Parganas,Diamond Harbour(South 24-pgs) APMC,"West Bengal, Sounth 24 Parganas, Diamond Harbour(South 24-pgs) APMC mandi",failed
West Bengal,Uttar Dinajpur,Islampur APMC,"West Bengal, Uttar Dinajpur, Islampur APMC mandi",failed
