state,district,market,query_address,latitude,longitude,source,confidence
,,,
Andhra Pradesh,Cuddapah,Koduru APMC,"Andhra Pradesh, Cuddapah, Koduru APMC mandi",29.24514,76.893957
Andhra Pradesh,Cuddapah,Lakkireddipally APMC,"Andhra Pradesh, Cuddapah, Lakkireddipally APMC mandi",16.5085935,80.7202522
Andhra Pradesh,Cuddapah,Mydukur APMC,"Andhra Pradesh, Cuddapah, Mydukur APMC mandi",17.62787625,83.15818874784765
Andhra Pradesh,Cuddapah,Proddatur APMC,"Andhra Pradesh, Cuddapah, Proddatur APMC mandi",29.24514,76.893957
Andhra Pradesh,Cuddapah,"Proddatur,RBZ APMC","Andhra Pradesh, Cuddapah, Proddatur,RBZ APMC mandi",14.751796,78.549605
Andhra Pradesh,Cuddapah,Pulivendala APMC,"Andhra Pradesh, Cuddapah, Pulivendala APMC mandi",17.62787625,83.15818874784765
Andhra Pradesh,Cuddapah,Rajampet APMC,"Andhra Pradesh, Cuddapah, Rajampet APMC mandi",29.24514,76.893957
Andhra Pradesh,Cuddapah,Rayachoti APMC,"Andhra Pradesh, Cuddapah, Rayachoti APMC mandi",29.24514,76.893957
Andhra Pradesh,Cuddapah,Siddavatam APMC,"Andhra Pradesh, Cuddapah, Siddavatam APMC mandi",17.4498914,78.3568519
Andhra Pradesh,Cuddapah,Siddout APMC,"Andhra Pradesh, Cuddapah, Siddout APMC mandi",17.62787625,83.15818874784765
Andhra Pradesh,Cuddapah,Simhadhripuram APMC,"Andhra Pradesh, Cuddapah, Simhadhripuram APMC mandi",17.4498914,78.3568519
Andhra Pradesh,Cuddapah,Yerraguntla APMC,"Andhra Pradesh, Cuddapah, Yerraguntla APMC mandi",17.62787625,83.15818874784765
Andhra Pradesh,East Godavari,Alamuru APMC,"Andhra Pradesh, East Godavari, Alamuru APMC mandi",15.45799,78.3195
Andhra Pradesh,East Godavari,Allavaram APMC,"Andhra Pradesh, East Godavari, Allavaram APMC mandi",17.3224612,82.3662129
Andhra Pradesh,East Godavari,"Amalapuram(Mpl. Gate),RBZ APMC","Andhra Pradesh, East Godavari, Amalapuram(Mpl. Gate),RBZ APMC mandi",16.577189,82.003154
Andhra Pradesh,East Godavari,Ambajipeta APMC,"Andhra Pradesh, East Godavari, Ambajipeta APMC mandi",17.3224612,82.3662129
Andhra Pradesh,East Godavari,Anaparthy APMC,"Andhra Pradesh, East Godavari, Anaparthy APMC mandi",17.3224612,82.3662129
Andhra Pradesh,East Godavari,"Ganesh Chouk,Rajahmundry,RBZ APMC","Andhra Pradesh, East Godavari, Ganesh Chouk,Rajahmundry,RBZ APMC mandi",17.007754,81.79279
Andhra Pradesh,East Godavari,Jaggampet APMC,"Andhra Pradesh, East Godavari, Jaggampet APMC mandi",17.3224612,82.3662129
Andhra Pradesh,East Godavari,Kakinada APMC,"Andhra Pradesh, East Godavari, Kakinada APMC mandi",16.971918,82.240792
Andhra Pradesh,East Godavari,"Kakinada(R.T.C) ,RBZ APMC","Andhra Pradesh, East Godavari, Kakinada(R.T.C) ,RBZ APMC mandi",17.0562985,82.24977853455829
Andhra Pradesh,East Godavari,Karapa APMC,"Andhra Pradesh, East Godavari, Karapa APMC mandi",16.902228,82.168955
Andhra Pradesh,East Godavari,Kothapeta APMC,"Andhra Pradesh, East Godavari, Kothapeta APMC mandi",16.68878,81.90954
Andhra Pradesh,East Godavari,Mandapeta APMC,"Andhra Pradesh, East Godavari, Mandapeta APMC mandi",16.86189,81.929245
Andhra Pradesh,East Godavari,Mummidivaram APMC,"Andhra Pradesh, East Godavari, Mummidivaram APMC mandi",16.639482,82.102969
Andhra Pradesh,East Godavari,Nagaram APMC,"Andhra Pradesh, East Godavari, Nagaram APMC mandi",16.005169,80.725051
Andhra Pradesh,East Godavari,Peddapuram APMC,"Andhra Pradesh, East Godavari, Peddapuram APMC mandi",17.075661,82.136394
Andhra Pradesh,East Godavari,Pithapuram APMC,"Andhra Pradesh, East Godavari, Pithapuram APMC mandi",17.116527,82.253859
Andhra Pradesh,East Godavari,Rajahmundry APMC,"Andhra Pradesh, East Godavari, Rajahmundry APMC mandi",17.186218,81.38442
Andhra Pradesh,East Godavari,Rajanagaram APMC,"Andhra Pradesh, East Godavari, Rajanagaram APMC mandi",17.077459,81.899703
Andhra Pradesh,East Godavari,Ramachandrapuram APMC,"Andhra Pradesh, East Godavari, Ramachandrapuram APMC mandi",16.98351,80.73186
Andhra Pradesh,East Godavari,"Ravulapalem(MY),RBZ APMC","Andhra Pradesh, East Godavari, Ravulapalem(MY),RBZ APMC mandi",17.3224612,82.3662129
Andhra Pradesh,East Godavari,Razole APMC,"Andhra Pradesh, East Godavari, Razole APMC mandi",16.476136,81.841948
Andhra Pradesh,East Godavari,Sampara APMC,"Andhra Pradesh, East Godavari, Sampara APMC mandi",16.909112,82.106239
Andhra Pradesh,East Godavari,Tellarevu APMC,"Andhra Pradesh, East Godavari, Tellarevu APMC mandi",17.3224612,82.3662129
Andhra Pradesh,East Godavari,Tuni APMC,"Andhra Pradesh, East Godavari, Tuni APMC mandi",17.37446,82.51627
Andhra Pradesh,Guntur,Bapatla APMC,"Andhra Pradesh, Guntur, Bapatla APMC mandi",16.498648000000003,80.49365040003681
Andhra Pradesh,Guntur,Chilakaluripet APMC,"Andhra Pradesh, Guntur, Chilakaluripet APMC mandi",16.498648000000003,80.49365040003681
Andhra Pradesh,Guntur,Duggirala APMC,"Andhra Pradesh, Guntur, Duggirala APMC mandi",16.498648000000003,80.49365040003681
Andhra Pradesh,Guntur,"Gandhi Irvin Park(Tenali),RBZ APMC","Andhra Pradesh, Guntur, Gandhi Irvin Park(Tenali),RBZ APMC mandi",16.2377735,80.6464219
Andhra Pradesh,Guntur,Guntur APMC,"Andhra Pradesh, Guntur, Guntur APMC mandi",16.498648000000003,80.49365040003681
Andhra Pradesh,Guntur,Ipur APMC,"Andhra Pradesh, Guntur, Ipur APMC mandi",16.498648000000003,80.49365040003681
Andhra Pradesh,Guntur,Krosuru APMC,"Andhra Pradesh, Guntur, Krosuru APMC mandi",16.513824,80.5142766
Andhra Pradesh,Guntur,Kuchinapudi APMC,"Andhra Pradesh, Guntur, Kuchinapudi APMC mandi",16.513824,80.5142766
Andhra Pradesh,Guntur,Macharla APMC,"Andhra Pradesh, Guntur, Macharla APMC mandi",16.498648000000003,80.49365040003681
Andhra Pradesh,Guntur,Mangalagiri APMC,"Andhra Pradesh, Guntur, Mangalagiri APMC mandi",16.498648000000003,80.49365040003681
Andhra Pradesh,Guntur,"Mangalagiri(SLNS Temple),RBZ APMC","Andhra Pradesh, Guntur, Mangalagiri(SLNS Temple),RBZ APMC mandi",16.436405,80.571498
Andhra Pradesh,Guntur,Narasaraopet APMC,"Andhra Pradesh, Guntur, Narasaraopet APMC mandi",16.498648000000003,80.49365040003681
