t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2022-01-01","Onion","639","Samrala","3","Punjab","41","Ludhiana","Other","2000","2500","2200"
"2022-01-01","Onion","1611","Chamkaur Sahib","3","Punjab","51","Rupnagar","Other","3200","3300","3250"
"2022-01-01","Onion","2895","Mukerian(Talwara)","3","Punjab","38","Hoshiarpur","Onion","2600","3500","2900"
"2022-01-01","Onion","1597","Ludhiana","3","Punjab","41","Ludhiana","Other","1100","2450","1800"
"2022-01-01","Onion","246","Nabha","3","Punjab","48","Patiala","Other","1300","2500","1700"
"2022-01-01","Onion","248","Dhuri","3","Punjab","53","Sangrur","Other","1800","2100","2000"
"2022-01-01","Onion","822","Lalru","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","1500","2200","1800"
"2022-01-01","Onion","227","Tarantaran","3","Punjab","50","Tarn Taran","Other","2000","2500","2200"
"2022-01-01","Onion","1743","Bilga","3","Punjab","37","Jalandhar","Other","2000","2200","2100"
"2022-01-01","Onion","1745","Noor Mehal","3","Punjab","37","Jalandhar","1st Sort","1500","1500","1500"
"2022-01-01","Onion","624","Patti","3","Punjab","50","Tarn Taran","Other","1500","2000","1800"
"2022-01-01","Onion","1595","Doraha","3","Punjab","41","Ludhiana","Other","2200","2600","2451"
"2022-01-01","Onion","237","Khanna","3","Punjab","41","Ludhiana","Other","1500","2500","2000"
"2022-01-01","Onion","250","Sunam","3","Punjab","53","Sangrur","Onion","1800","2100","2000"
"2022-01-01","Onion","626","Gurdaspur","3","Punjab","35","Gurdaspur","Other","2000","2200","2100"
"2022-01-01","Onion","1759","Sangrur","3","Punjab","53","Sangrur","Onion","1500","1900","1700"
"2022-01-01","Onion","1732","Bhagta Bhai Ka","3","Punjab","46","Bathinda","Other","2200","2200","2200"
"2022-01-01","Onion","1751","Dera Bassi","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","1900","2100","2000"
