t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2021-01-01","Onion","1600","Sahnewal","3","Punjab","41","Ludhiana","Onion","3000","3000","3000"
"2021-01-01","Onion","1584","Dhariwal","3","Punjab","35","Gurdaspur","Other","2400","2600","2500"
"2021-01-01","Onion","645","Dudhansadhan","3","Punjab","48","Patiala","Other","3000","3500","3200"
"2021-01-01","Onion","632","Faridkot","3","Punjab","45","Faridkot","Onion","1000","2000","1500"
"2021-01-01","Onion","1610","Rajpura","3","Punjab","48","Patiala","Local","1500","2400","1950"
"2021-01-01","Onion","244","Patran","3","Punjab","48","Patiala","Other","1000","2300","1920"
"2021-01-01","Onion","2895","Mukerian(Talwara)","3","Punjab","38","Hoshiarpur","Onion","2000","3000","2500"
"2021-01-01","Onion","1587","Garh Shankar","3","Punjab","38","Hoshiarpur","Other","1700","2400","2000"
"2021-01-01","Onion","2875","Nawan Shahar(Subzi Mandi)","3","Punjab","39","Shahid Bhagat Singh Nagar","Other","2000","2200","2100"
"2021-01-01","Onion","243","Patiala","3","Punjab","48","Patiala","Onion","1500","2700","2500"
"2021-01-01","Onion","1591","Goraya","3","Punjab","37","Jalandhar","Other","2300","2300","2300"
"2021-01-01","Onion","1759","Sangrur","3","Punjab","53","Sangrur","Onion","2500","2700","2700"
"2021-01-01","Onion","1612","Kharar","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","2800","3400","3200"
"2021-01-01","Onion","2876","Nawan Shahar(MandiRaho)","3","Punjab","39","Shahid Bhagat Singh Nagar","Other","2000","2200","2100"
"2021-01-01","Onion","3106","Garh Shankar(Mahalpur)","3","Punjab","38","Hoshiarpur","Onion","1800","2200","2000"
"2021-01-01","Onion","1577","Jaitu","3","Punjab","45","Faridkot","Nasik","2000","2000","2000"
"2021-01-01","Onion","636","Hoshiarpur","3","Punjab","38","Hoshiarpur","Other","3000","4500","3800"
"2021-01-01","Onion","623","Ajnala","3","Punjab","49","Amritsar","Red","2200","2300","2200"
"2021-01-01","Onion","1608","Banga","3","Punjab","39","Shahid Bhagat Singh Nagar","Onion","2134","2480","2200"
"2021-01-01","Onion","822","Lalru","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","2000","3500","2500"
"2021-01-01","Onion","647","Ropar","3","Punjab","51","Rupnagar","Other","2500","3000","2700"
