t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2018-12-31","Onion","623","Ajnala","3","Punjab","49","Amritsar","Red","700","900","800"
"2018-12-31","Onion","637","Mukerian","3","Punjab","38","Hoshiarpur","Onion","1000","1500","1300"
"2018-12-31","Onion","1608","Banga","3","Punjab","39","Shahid Bhagat Singh Nagar","Other","1020","1086","1086"
"2018-12-31","Onion","643","Giddarbaha","3","Punjab","44","Muktsar","Onion","1000","1300","1200"
"2018-12-31","Onion","239","Baghapurana","3","Punjab","42","Moga","Other","1000","1100","1050"
"2018-12-31","Onion","1589","Adampur","3","Punjab","37","Jalandhar","Other","900","1000","1000"
"2018-12-31","Onion","1582","Dinanagar","3","Punjab","35","Gurdaspur","Other","1000","1200","1050"
"2018-12-31","Onion","1588","Tanda Urmur","3","Punjab","38","Hoshiarpur","Other","700","900","800"
"2018-12-31","Onion","1773","Rayya","3","Punjab","49","Amritsar","Red","900","1200","1000"
"2018-12-31","Onion","246","Nabha","3","Punjab","48","Patiala","Other","400","800","500"
"2018-12-31","Onion","1580","Makhu","3","Punjab","43","Firozpur","Other","800","1000","900"
"2018-12-31","Onion","629","Bathinda","3","Punjab","46","Bathinda","Other","600","1100","700"
"2018-12-31","Onion","1610","Rajpura","3","Punjab","48","Patiala","Local","750","1000","890"
"2018-12-31","Onion","237","Khanna","3","Punjab","41","Ludhiana","Other","700","1100","900"
"2018-12-31","Onion","3106","Garh Shankar(Mahalpur)","3","Punjab","38","Hoshiarpur","Onion","800","900","850"
"2018-12-31","Onion","1595","Doraha","3","Punjab","41","Ludhiana","Other","900","1200","1050"
"2018-12-31","Onion","1730","Mehta","3","Punjab","49","Amritsar","1st Sort","250","300","270"
"2018-12-31","Onion","626","Gurdaspur","3","Punjab","35","Gurdaspur","Other","500","800","600"
"2018-12-31","Onion","233","Batala","3","Punjab","35","Gurdaspur","Other","750","850","800"
"2018-12-31","Onion","639","Samrala","3","Punjab","41","Ludhiana","Other","800","1000","900"
"2018-12-31","Onion","645","Dudhansadhan","3","Punjab","48","Patiala","Other","1000","1200","1100"
"2018-12-31","Onion","1607","Balachaur","3","Punjab","39","Shahid Bhagat Singh Nagar","Other","950","1000","975"
"2018-12-31","Onion","4439","Banur (Kheragaju)","3","Punjab","52","Sahibzada Ajit Singh Nagar","1st Sort","1000","1500","1200"
"2018-12-31","Onion","242","Malout","3","Punjab","44","Muktsar","Onion","700","1000","800"
"2018-12-31","Onion","1606","Bariwala","3","Punjab","44","Muktsar","Other","800","900","850"
"2018-12-31","Onion","1751","Dera Bassi","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","1200","1400","1300"
"2018-12-31","Onion","1739","F.G.Churian","3","Punjab","35","Gurdaspur","Onion","1480","1500","1490"
"2018-12-31","Onion","4444","GarhShankar (Kotfatuhi)","3","Punjab","38","Hoshiarpur","Other","800","1000","900"
"2018-12-31","Onion","638","Raikot","3","Punjab","41","Ludhiana","Other","900","1100","1000"
"2018-12-31","Onion","1180","Goniana","3","Punjab","46","Bathinda","Other","1200","1400","1300"
"2018-12-31","Onion","1181","Sirhind","3","Punjab","40","Fatehgarh Sahib","Other","1000","1100","1050"
"2018-12-31","Onion","1613","Kurali","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","1100","1210","1140"
"2018-12-31","Onion","1618","Bassi Pathana","3","Punjab","40","Fatehgarh Sahib","Medium","900","1100","1000"
"2018-12-31","Onion","1611","Chamkaur Sahib","3","Punjab","51","Rupnagar","Other","900","920","910"
"2018-12-31","Onion","1586","Dasuya","3","Punjab","38","Hoshiarpur","Other","800","1000","1000"
"2018-12-31","Onion","240","Moga","3","Punjab","42","Moga","Other","900","1100","1000"
"2018-12-31","Onion","238","Jagraon","3","Punjab","41","Ludhiana","Other","1000","1300","1200"
"2018-12-31","Onion","1612","Kharar","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","900","1100","1000"
"2018-12-31","Onion","634","Firozepur City","3","Punjab","43","Firozpur","Other","900","1100","1000"
"2018-12-31","Onion","2895","Mukerian(Talwara)","3","Punjab","38","Hoshiarpur","Onion","1200","1700","1500"
"2018-12-31","Onion","624","Patti","3","Punjab","50","Tarn Taran","Other","800","1000","900"
"2018-12-31","Onion","1749","Banur","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","1000","1500","1200"
"2018-12-31","Onion","647","Ropar","3","Punjab","51","Rupnagar","Other","800","1100","800"
"2018-12-31","Onion","245","Samana","3","Punjab","48","Patiala","Other","1050","1200","1100"
"2018-12-31","Onion","631","Raman","3","Punjab","46","Bathinda","Other","850","925","900"
"2018-12-31","Onion","1574","Bhucho","3","Punjab","46","Bathinda","Other","1500","2000","1700"
"2018-12-31","Onion","1600","Sahnewal","3","Punjab","41","Ludhiana","Onion","1100","1400","1300"
"2018-12-31","Onion","249","Malerkotla","3","Punjab","53","Sangrur","Other","750","900","800"
"2018-12-31","Onion","248","Dhuri","3","Punjab","53","Sangrur","Other","1000","1100","1050"
"2018-12-31","Onion","2875","Nawan Shahar(Subzi Mandi)","3","Punjab","39","Shahid Bhagat Singh Nagar","Other","1000","1400","1200"
"2018-12-31","Onion","251","Bhawanigarh","3","Punjab","53","Sangrur","Other","800","800","800"
"2018-12-31","Onion","1581","Zira","3","Punjab","43","Firozpur","Medium","1000","1400","1200"
"2018-12-30","Onion","638","Raikot","3","Punjab","41","Ludhiana","Other","900","1100","1000"
"2018-12-30","Onion","247","Barnala","3","Punjab","54","Barnala","Other","600","900","750"
"2018-12-30","Onion","4439","Banur (Kheragaju)","3","Punjab","52","Sahibzada Ajit Singh Nagar","1st Sort","1000","1500","1200"
"2018-12-30","Onion","1773","Rayya","3","Punjab","49","Amritsar","Red","750","950","850"
"2018-12-30","Onion","248","Dhuri","3","Punjab","53","Sangrur","Other","1000","1100","1050"
"2018-12-30","Onion","1749","Banur","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","1000","1500","1200"
"2018-12-30","Onion","1580","Makhu","3","Punjab","43","Firozpur","Other","800","1000","900"
"2018-12-30","Onion","1606","Bariwala","3","Punjab","44","Muktsar","Other","800","1000","900"
"2018-12-30","Onion","641","Budalada","3","Punjab","47","Mansa","Other","850","950","900"
"2018-12-30","Onion","1612","Kharar","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","900","1100","1000"
"2018-12-30","Onion","2895","Mukerian(Talwara)","3","Punjab","38","Hoshiarpur","Onion","1200","1600","1400"
"2018-12-30","Onion","624","Patti","3","Punjab","50","Tarn Taran","Other","700","900","800"
"2018-12-30","Onion","1574","Bhucho","3","Punjab","46","Bathinda","Other","1500","2000","1700"
"2018-12-30","Onion","623","Ajnala","3","Punjab","49","Amritsar","Red","900","1100","1000"
