t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2023-01-01","Onion","1732","Bhagta Bhai Ka","3","Punjab","46","Bathinda","Other","1600","1600","1600"
"2023-01-01","Onion","1575","Maur","3","Punjab","46","Bathinda","Other","1600","1900","1800"
"2023-01-01","Onion","1618","Bassi Pathana","3","Punjab","40","Fatehgarh Sahib","Onion","1500","1700","1600"
"2023-01-01","Onion","631","Raman","3","Punjab","46","Bathinda","Other","1220","1310","1250"
"2023-01-01","Onion","248","Dhuri","3","Punjab","53","Sangrur","Other","1200","1500","1400"
"2023-01-01","Onion","822","Lalru","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","1000","1300","1300"
"2023-01-01","Onion","1582","Dinanagar","3","Punjab","35","Gurdaspur","Other","1600","1800","1700"
"2023-01-01","Onion","1612","Kharar","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","1500","2500","2000"
"2023-01-01","Onion","242","Malout","3","Punjab","44","Muktsar","Onion","600","800","700"
"2023-01-01","Onion","1610","Rajpura","3","Punjab","48","Patiala","Local","1200","1500","1350"
"2023-01-01","Onion","1751","Dera Bassi","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","2100","2300","2200"
"2023-01-01","Onion","1602","Dharamkot","3","Punjab","42","Moga","Other","2000","2000","2000"
"2023-01-01","Onion","1183","Mansa","3","Punjab","47","Mansa","Onion","1500","2200","1800"
"2023-01-01","Onion","624","Patti","3","Punjab","50","Tarn Taran","Other","1500","2000","1800"
"2022-12-31","Onion","822","Lalru","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","1200","1200","1200"
"2022-12-31","Onion","1597","Ludhiana","3","Punjab","41","Ludhiana","Other","600","2000","1300"
"2022-12-31","Onion","1600","Sahnewal","3","Punjab","41","Ludhiana","Onion","1800","1800","1800"
"2022-12-31","Onion","1610","Rajpura","3","Punjab","48","Patiala","Local","1000","1500","1200"
"2022-12-31","Onion","229","Fazilka","3","Punjab","43","Firozpur","Other","1200","1800","1500"
"2022-12-31","Onion","1577","Jaitu","3","Punjab","45","Faridkot","Nasik","1600","1800","1800"
"2022-12-31","Onion","634","Firozepur City","3","Punjab","43","Firozpur","Other","1200","2000","1600"
"2022-12-31","Onion","242","Malout","3","Punjab","44","Muktsar","Onion","600","800","700"
"2022-12-31","Onion","1743","Bilga","3","Punjab","37","Jalandhar","Other","2000","2000","2000"
"2022-12-31","Onion","1181","Sirhind","3","Punjab","40","Fatehgarh Sahib","Other","1500","2100","1800"
"2022-12-31","Onion","1612","Kharar","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","1500","2500","2000"
"2022-12-31","Onion","1584","Dhariwal","3","Punjab","35","Gurdaspur","Other","1000","1200","1100"
"2022-12-31","Onion","823","Morinda","3","Punjab","51","Rupnagar","Onion","1600","2000","1800"
"2022-12-31","Onion","629","Bathinda","3","Punjab","46","Bathinda","Other","1600","2000","1600"
"2022-12-31","Onion","239","Baghapurana","3","Punjab","42","Moga","Medium","1200","1600","1400"
