t,cmdty,market_id,market_name,state_id,state_name,district_id,district_name,variety,p_min,p_max,p_modal
"2017-12-31","Onion","624","Patti","3","Punjab","50","Tarn Taran","Other","3200","3500","3400"
"2017-12-31","Onion","2884","Gehri(Jandiala mandi)","3","Punjab","49","Amritsar","Onion","3500","3500","3500"
"2017-12-31","Onion","1608","Banga","3","Punjab","39","Shahid Bhagat Singh Nagar","Other","3435","3435","3435"
"2017-12-31","Onion","1588","Tanda Urmur","3","Punjab","38","Hoshiarpur","Other","3500","4000","3800"
"2017-12-31","Onion","248","Dhuri","3","Punjab","53","Sangrur","Other","2700","3200","2900"
"2017-12-31","Onion","249","Malerkotla","3","Punjab","53","Sangrur","Other","2650","3400","3000"
"2017-12-31","Onion","1612","Kharar","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","2800","3400","3000"
"2017-12-31","Onion","638","Raikot","3","Punjab","41","Ludhiana","Other","3800","4200","4000"
"2017-12-31","Onion","1602","Dharamkot","3","Punjab","42","Moga","Other","3400","3500","3500"
"2017-12-31","Onion","1615","Khanauri","3","Punjab","53","Sangrur","Other","900","1100","1000"
"2017-12-31","Onion","1610","Rajpura","3","Punjab","48","Patiala","Local","2500","3500","3000"
"2017-12-31","Onion","250","Sunam","3","Punjab","53","Sangrur","Onion","2800","3000","2900"
"2017-12-31","Onion","1751","Dera Bassi","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","3500","3700","3600"
"2017-12-31","Onion","251","Bhawanigarh","3","Punjab","53","Sangrur","Other","2800","3000","2900"
"2017-12-30","Onion","1581","Zira","3","Punjab","43","Firozpur","Medium","2000","3000","2500"
"2017-12-30","Onion","239","Baghapurana","3","Punjab","42","Moga","Other","3600","3800","3700"
"2017-12-30","Onion","1612","Kharar","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","2800","3400","3000"
"2017-12-30","Onion","232","Abohar","3","Punjab","43","Firozpur","Onion","2900","3250","3000"
"2017-12-30","Onion","235","Guru Har Sahai","3","Punjab","43","Firozpur","Onion","2800","3500","3000"
"2017-12-30","Onion","248","Dhuri","3","Punjab","53","Sangrur","Other","2600","3220","3000"
"2017-12-30","Onion","250","Sunam","3","Punjab","53","Sangrur","Onion","2800","3000","2900"
"2017-12-30","Onion","647","Ropar","3","Punjab","51","Rupnagar","Other","3200","3800","3600"
"2017-12-30","Onion","1587","Garh Shankar","3","Punjab","38","Hoshiarpur","Other","3000","3500","3200"
"2017-12-30","Onion","1733","Talwandi Sabo","3","Punjab","46","Bathinda","Other","3400","3600","3500"
"2017-12-30","Onion","240","Moga","3","Punjab","42","Moga","Other","2000","3400","2700"
"2017-12-30","Onion","1618","Bassi Pathana","3","Punjab","40","Fatehgarh Sahib","Medium","3000","3500","3200"
"2017-12-30","Onion","1602","Dharamkot","3","Punjab","42","Moga","Other","3500","3500","3500"
"2017-12-30","Onion","1583","Quadian","3","Punjab","35","Gurdaspur","Other","2800","3000","2900"
"2017-12-30","Onion","246","Nabha","3","Punjab","48","Patiala","Other","2500","3600","3000"
"2017-12-30","Onion","3100","Phillaur(Apra Mandi)","3","Punjab","37","Jalandhar","Other","2300","2500","2400"
"2017-12-30","Onion","1749","Banur","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","2500","4000","3000"
"2017-12-30","Onion","1608","Banga","3","Punjab","39","Shahid Bhagat Singh Nagar","Other","3114","3114","3114"
"2017-12-30","Onion","249","Malerkotla","3","Punjab","53","Sangrur","Other","2850","3200","3000"
"2017-12-30","Onion","1586","Dasuya","3","Punjab","38","Hoshiarpur","Other","3000","3200","3200"
"2017-12-30","Onion","638","Raikot","3","Punjab","41","Ludhiana","Other","3800","4200","4000"
"2017-12-30","Onion","643","Giddarbaha","3","Punjab","44","Muktsar","Onion","3500","3600","3500"
"2017-12-30","Onion","242","Malout","3","Punjab","44","Muktsar","Onion","3200","3500","3300"
"2017-12-30","Onion","624","Patti","3","Punjab","50","Tarn Taran","Other","2500","3000","2800"
"2017-12-30","Onion","1588","Tanda Urmur","3","Punjab","38","Hoshiarpur","Other","3800","4200","4000"
"2017-12-30","Onion","238","Jagraon","3","Punjab","41","Ludhiana","Other","2600","3200","3000"
"2017-12-30","Onion","241","Muktsar","3","Punjab","44","Muktsar","Nasik","2300","2900","2800"
"2017-12-30","Onion","623","Ajnala","3","Punjab","49","Amritsar","Red","1800","2000","2000"
"2017-12-30","Onion","1582","Dinanagar","3","Punjab","35","Gurdaspur","Other","3200","3400","3300"
"2017-12-30","Onion","1615","Khanauri","3","Punjab","53","Sangrur","Other","900","1100","1000"
"2017-12-30","Onion","1611","Chamkaur Sahib","3","Punjab","51","Rupnagar","Other","2500","2520","2510"
"2017-12-30","Onion","237","Khanna","3","Punjab","41","Ludhiana","Other","2000","3000","2500"
"2017-12-30","Onion","1181","Sirhind","3","Punjab","40","Fatehgarh Sahib","Other","3000","3200","3100"
"2017-12-30","Onion","2883","Amritsar(Amritsar Mewa Mandi)","3","Punjab","49","Amritsar","Onion","1600","3000","2300"
"2017-12-30","Onion","1600","Sahnewal","3","Punjab","41","Ludhiana","Onion","3000","3600","3500"
"2017-12-30","Onion","1773","Rayya","3","Punjab","49","Amritsar","Red","2700","2900","2800"
"2017-12-30","Onion","2872","Jalandhar City(Jalandhar)","3","Punjab","37","Jalandhar","Other","2000","3000","2500"
"2017-12-30","Onion","823","Morinda","3","Punjab","51","Rupnagar","Other","3000","3200","3100"
"2017-12-30","Onion","251","Bhawanigarh","3","Punjab","53","Sangrur","Other","2800","3000","2900"
"2017-12-30","Onion","244","Patran","3","Punjab","48","Patiala","Other","2500","3300","2800"
"2017-12-30","Onion","640","Phagwara","3","Punjab","36","Kapurthala","Other","2750","3170","2960"
"2017-12-30","Onion","247","Barnala","3","Punjab","54","Barnala","Other","2500","3200","2800"
"2017-12-30","Onion","631","Raman","3","Punjab","46","Bathinda","Other","2900","3200","3100"
"2017-12-30","Onion","1759","Sangrur","3","Punjab","53","Sangrur","Onion","2700","2900","2900"
"2017-12-30","Onion","229","Fazilka","3","Punjab","43","Firozpur","Other","2800","3400","3200"
"2017-12-30","Onion","2884","Gehri(Jandiala mandi)","3","Punjab","49","Amritsar","Onion","3500","3500","3500"
"2017-12-30","Onion","2875","Nawan Shahar(Subzi Mandi)","3","Punjab","39","Shahid Bhagat Singh Nagar","Other","2500","3500","3120"
"2017-12-30","Onion","625","Pathankot","3","Punjab","35","Gurdaspur","Other","2400","2700","2550"
"2017-12-30","Onion","1610","Rajpura","3","Punjab","48","Patiala","Local","2800","3500","3200"
"2017-12-30","Onion","1589","Adampur","3","Punjab","37","Jalandhar","Other","3000","3200","3200"
"2017-12-30","Onion","1752","Ghanaur","3","Punjab","48","Patiala","Other","1500","1800","1500"
"2017-12-30","Onion","639","Samrala","3","Punjab","41","Ludhiana","Other","2700","3200","3000"
"2017-12-29","Onion","2872","Jalandhar City(Jalandhar)","3","Punjab","37","Jalandhar","Other","2000","3000","2500"
"2017-12-29","Onion","1589","Adampur","3","Punjab","37","Jalandhar","Other","3000","3200","3200"
"2017-12-29","Onion","236","Kapurthala","3","Punjab","36","Kapurthala","Dry F.A.Q.","2200","2500","2500"
"2017-12-29","Onion","1181","Sirhind","3","Punjab","40","Fatehgarh Sahib","Other","3000","3300","3200"
"2017-12-29","Onion","822","Lalru","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","2000","3000","2500"
"2017-12-29","Onion","1737","Mamdot","3","Punjab","43","Firozpur","Other","4100","4200","4150"
"2017-12-29","Onion","631","Raman","3","Punjab","46","Bathinda","Other","2700","3100","3000"
"2017-12-29","Onion","1613","Kurali","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","3100","3300","3200"
"2017-12-29","Onion","623","Ajnala","3","Punjab","49","Amritsar","Red","1800","2000","2000"
"2017-12-29","Onion","241","Muktsar","3","Punjab","44","Muktsar","Nasik","2000","2800","2600"
"2017-12-29","Onion","1618","Bassi Pathana","3","Punjab","40","Fatehgarh Sahib","Medium","3000","3500","3200"
"2017-12-29","Onion","1581","Zira","3","Punjab","43","Firozpur","Medium","2500","3200","3000"
"2017-12-29","Onion","1773","Rayya","3","Punjab","49","Amritsar","Red","2800","3000","2900"
"2017-12-29","Onion","1591","Goraya","3","Punjab","37","Jalandhar","Other","3000","3000","3000"
"2017-12-29","Onion","629","Bathinda","3","Punjab","46","Bathinda","Other","3000","3600","3200"
"2017-12-29","Onion","250","Sunam","3","Punjab","53","Sangrur","Onion","2500","3000","2700"
"2017-12-29","Onion","244","Patran","3","Punjab","48","Patiala","Other","2500","3000","2700"
"2017-12-29","Onion","229","Fazilka","3","Punjab","43","Firozpur","Other","2800","3400","3200"
"2017-12-29","Onion","1583","Quadian","3","Punjab","35","Gurdaspur","Other","2800","3000","2900"
"2017-12-29","Onion","1612","Kharar","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","2500","3400","2800"
"2017-12-29","Onion","3100","Phillaur(Apra Mandi)","3","Punjab","37","Jalandhar","Other","2400","2600","2500"
"2017-12-29","Onion","643","Giddarbaha","3","Punjab","44","Muktsar","Onion","3000","3300","3200"
"2017-12-29","Onion","634","Firozepur City","3","Punjab","43","Firozpur","Other","2700","3200","2950"
"2017-12-29","Onion","625","Pathankot","3","Punjab","35","Gurdaspur","Other","2500","2700","2600"
"2017-12-29","Onion","251","Bhawanigarh","3","Punjab","53","Sangrur","Other","2800","3000","2900"
"2017-12-29","Onion","1582","Dinanagar","3","Punjab","35","Gurdaspur","Other","3200","3400","3300"
"2017-12-29","Onion","238","Jagraon","3","Punjab","41","Ludhiana","Other","2500","3200","2800"
"2017-12-29","Onion","1602","Dharamkot","3","Punjab","42","Moga","Other","3500","3500","3500"
"2017-12-29","Onion","1751","Dera Bassi","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","3500","3700","3600"
"2017-12-29","Onion","232","Abohar","3","Punjab","43","Firozpur","Onion","2800","3200","3000"
"2017-12-29","Onion","1608","Banga","3","Punjab","39","Shahid Bhagat Singh Nagar","Other","3200","3232","3232"
"2017-12-29","Onion","1586","Dasuya","3","Punjab","38","Hoshiarpur","Other","3000","3300","3300"
"2017-12-29","Onion","1615","Khanauri","3","Punjab","53","Sangrur","Other","950","1150","1050"
"2017-12-29","Onion","1759","Sangrur","3","Punjab","53","Sangrur","Onion","2900","3000","3000"
"2017-12-29","Onion","1588","Tanda Urmur","3","Punjab","38","Hoshiarpur","Other","3500","4000","3800"
"2017-12-29","Onion","1598","Machhiwara","3","Punjab","41","Ludhiana","Other","2500","3200","2800"
"2017-12-29","Onion","632","Faridkot","3","Punjab","45","Faridkot","Onion","2700","3300","3000"
"2017-12-29","Onion","249","Malerkotla","3","Punjab","53","Sangrur","Other","2800","3200","3050"
"2017-12-29","Onion","237","Khanna","3","Punjab","41","Ludhiana","Other","2000","3000","2500"
"2017-12-29","Onion","639","Samrala","3","Punjab","41","Ludhiana","Other","3200","3500","3300"
"2017-12-29","Onion","2875","Nawan Shahar(Subzi Mandi)","3","Punjab","39","Shahid Bhagat Singh Nagar","Other","2500","3500","3120"
"2017-12-29","Onion","235","Guru Har Sahai","3","Punjab","43","Firozpur","Onion","2800","3200","3000"
"2017-12-29","Onion","1580","Makhu","3","Punjab","43","Firozpur","Other","2400","2600","2500"
"2017-12-29","Onion","242","Malout","3","Punjab","44","Muktsar","Onion","3000","3500","3300"
"2017-12-29","Onion","640","Phagwara","3","Punjab","36","Kapurthala","Other","2685","3120","2902"
"2017-12-29","Onion","247","Barnala","3","Punjab","54","Barnala","Other","2500","2800","2650"
"2017-12-29","Onion","240","Moga","3","Punjab","42","Moga","Other","1800","3500","2400"
"2017-12-29","Onion","239","Baghapurana","3","Punjab","42","Moga","Other","3600","3800","3700"
"2017-12-29","Onion","638","Raikot","3","Punjab","41","Ludhiana","Other","3200","3500","3300"
"2017-12-29","Onion","1611","Chamkaur Sahib","3","Punjab","51","Rupnagar","Other","2500","2550","2520"
"2017-12-29","Onion","1587","Garh Shankar","3","Punjab","38","Hoshiarpur","Other","2800","3400","3000"
"2017-12-29","Onion","1600","Sahnewal","3","Punjab","41","Ludhiana","Onion","3000","3000","3000"
"2017-12-28","Onion","1773","Rayya","3","Punjab","49","Amritsar","Red","2800","3000","2900"
"2017-12-28","Onion","643","Giddarbaha","3","Punjab","44","Muktsar","Onion","3500","3600","3600"
"2017-12-28","Onion","1610","Rajpura","3","Punjab","48","Patiala","Local","3000","3500","3250"
"2017-12-28","Onion","247","Barnala","3","Punjab","54","Barnala","Other","2200","2800","2500"
"2017-12-28","Onion","1588","Tanda Urmur","3","Punjab","38","Hoshiarpur","Other","3600","4000","3800"
"2017-12-28","Onion","2883","Amritsar(Amritsar Mewa Mandi)","3","Punjab","49","Amritsar","Onion","1600","3100","2300"
"2017-12-28","Onion","1615","Khanauri","3","Punjab","53","Sangrur","Other","950","1150","1050"
"2017-12-28","Onion","1737","Mamdot","3","Punjab","43","Firozpur","Other","4100","4200","4150"
"2017-12-28","Onion","2872","Jalandhar City(Jalandhar)","3","Punjab","37","Jalandhar","Other","1800","3100","2500"
"2017-12-28","Onion","1759","Sangrur","3","Punjab","53","Sangrur","Onion","3000","3000","3000"
"2017-12-28","Onion","242","Malout","3","Punjab","44","Muktsar","Onion","3300","3600","3500"
"2017-12-28","Onion","240","Moga","3","Punjab","42","Moga","Other","1800","3500","2500"
"2017-12-28","Onion","238","Jagraon","3","Punjab","41","Ludhiana","Other","3300","3400","3350"
"2017-12-28","Onion","1612","Kharar","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","2500","3400","2800"
"2017-12-28","Onion","1589","Adampur","3","Punjab","37","Jalandhar","Other","3100","3200","3200"
"2017-12-28","Onion","822","Lalru","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","2500","3500","3000"
"2017-12-28","Onion","1600","Sahnewal","3","Punjab","41","Ludhiana","Onion","3000","3200","3200"
"2017-12-28","Onion","1582","Dinanagar","3","Punjab","35","Gurdaspur","Other","3200","3400","3300"
"2017-12-28","Onion","638","Raikot","3","Punjab","41","Ludhiana","Other","3200","3600","3400"
"2017-12-28","Onion","250","Sunam","3","Punjab","53","Sangrur","Onion","2600","3000","2800"
"2017-12-28","Onion","1587","Garh Shankar","3","Punjab","38","Hoshiarpur","Other","2800","3500","3000"
"2017-12-28","Onion","1591","Goraya","3","Punjab","37","Jalandhar","Other","3000","3000","3000"
"2017-12-28","Onion","251","Bhawanigarh","3","Punjab","53","Sangrur","Other","2800","3000","2900"
"2017-12-28","Onion","248","Dhuri","3","Punjab","53","Sangrur","Other","2700","3200","2900"
"2017-12-28","Onion","631","Raman","3","Punjab","46","Bathinda","Other","2700","3100","3000"
"2017-12-28","Onion","3100","Phillaur(Apra Mandi)","3","Punjab","37","Jalandhar","Other","2600","2800","2700"
"2017-12-28","Onion","1586","Dasuya","3","Punjab","38","Hoshiarpur","Other","2500","3000","3000"
"2017-12-28","Onion","640","Phagwara","3","Punjab","36","Kapurthala","Other","2800","3080","2940"
"2017-12-28","Onion","1608","Banga","3","Punjab","39","Shahid Bhagat Singh Nagar","Other","3000","3414","3200"
"2017-12-28","Onion","237","Khanna","3","Punjab","41","Ludhiana","Other","2000","3000","2500"
"2017-12-28","Onion","1732","Bhagta Bhai Ka","3","Punjab","46","Bathinda","Other","3800","4100","3950"
"2017-12-28","Onion","1181","Sirhind","3","Punjab","40","Fatehgarh Sahib","Other","3000","3300","3200"
"2017-12-28","Onion","229","Fazilka","3","Punjab","43","Firozpur","Other","2800","3400","3200"
"2017-12-28","Onion","1183","Mansa","3","Punjab","47","Mansa","Onion","2000","3500","2500"
"2017-12-28","Onion","1751","Dera Bassi","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","3500","3700","3600"
"2017-12-28","Onion","1598","Machhiwara","3","Punjab","41","Ludhiana","Other","2700","3100","2800"
"2017-12-28","Onion","1583","Quadian","3","Punjab","35","Gurdaspur","Other","2800","3000","2900"
"2017-12-28","Onion","1580","Makhu","3","Punjab","43","Firozpur","Other","3500","3700","3600"
"2017-12-28","Onion","3106","Garh Shankar(Mahalpur)","3","Punjab","38","Hoshiarpur","Onion","2800","3500","3000"
"2017-12-28","Onion","241","Muktsar","3","Punjab","44","Muktsar","Nasik","2000","2800","2700"
"2017-12-28","Onion","1618","Bassi Pathana","3","Punjab","40","Fatehgarh Sahib","Medium","3500","4000","3800"
"2017-12-28","Onion","1581","Zira","3","Punjab","43","Firozpur","Medium","1800","2200","2000"
"2017-12-28","Onion","1611","Chamkaur Sahib","3","Punjab","51","Rupnagar","Other","3500","3520","3510"
"2017-12-28","Onion","1574","Bhucho","3","Punjab","46","Bathinda","Other","3000","3500","3200"
"2017-12-28","Onion","232","Abohar","3","Punjab","43","Firozpur","Onion","2800","3200","3000"
"2017-12-28","Onion","625","Pathankot","3","Punjab","35","Gurdaspur","Other","2400","2700","2550"
"2017-12-28","Onion","227","Tarantaran","3","Punjab","50","Tarn Taran","Other","2600","3000","2800"
"2017-12-28","Onion","2875","Nawan Shahar(Subzi Mandi)","3","Punjab","39","Shahid Bhagat Singh Nagar","Other","2500","3500","3050"
"2017-12-28","Onion","624","Patti","3","Punjab","50","Tarn Taran","Other","2800","3300","3000"
"2017-12-28","Onion","632","Faridkot","3","Punjab","45","Faridkot","Onion","3000","3300","3200"
"2017-12-28","Onion","623","Ajnala","3","Punjab","49","Amritsar","Red","1800","2000","2000"
"2017-12-28","Onion","239","Baghapurana","3","Punjab","42","Moga","Other","3600","3800","3700"
"2017-12-28","Onion","634","Firozepur City","3","Punjab","43","Firozpur","Other","2800","3200","3000"
"2017-12-28","Onion","1733","Talwandi Sabo","3","Punjab","46","Bathinda","Other","3400","3700","3500"
"2017-12-28","Onion","626","Gurdaspur","3","Punjab","35","Gurdaspur","Other","2500","3000","2750"
"2017-12-28","Onion","1757","Lehra Gaga","3","Punjab","53","Sangrur","Other","3000","3000","3000"
"2017-12-28","Onion","1613","Kurali","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","3200","3350","3300"
"2017-12-28","Onion","639","Samrala","3","Punjab","41","Ludhiana","Other","2800","3200","3000"
"2017-12-28","Onion","629","Bathinda","3","Punjab","46","Bathinda","Other","3000","3500","3200"
"2017-12-28","Onion","235","Guru Har Sahai","3","Punjab","43","Firozpur","Onion","2500","3000","3000"
"2017-12-27","Onion","623","Ajnala","3","Punjab","49","Amritsar","Red","1800","2000","2000"
"2017-12-27","Onion","246","Nabha","3","Punjab","48","Patiala","Other","2600","3600","3000"
"2017-12-27","Onion","1610","Rajpura","3","Punjab","48","Patiala","Local","3000","3500","3250"
"2017-12-27","Onion","242","Malout","3","Punjab","44","Muktsar","Onion","3200","3600","3500"
"2017-12-27","Onion","241","Muktsar","3","Punjab","44","Muktsar","Nasik","2000","2800","2700"
"2017-12-27","Onion","1574","Bhucho","3","Punjab","46","Bathinda","Other","3000","3500","3200"
"2017-12-27","Onion","233","Batala","3","Punjab","35","Gurdaspur","Other","2400","3200","2750"
"2017-12-27","Onion","629","Bathinda","3","Punjab","46","Bathinda","Other","3000","3500","3200"
"2017-12-27","Onion","643","Giddarbaha","3","Punjab","44","Muktsar","Onion","3500","3600","3600"
"2017-12-27","Onion","244","Patran","3","Punjab","48","Patiala","Other","2500","3000","2800"
"2017-12-27","Onion","1180","Goniana","3","Punjab","46","Bathinda","Other","3000","3500","3200"
"2017-12-27","Onion","236","Kapurthala","3","Punjab","36","Kapurthala","Dry F.A.Q.","2500","2500","2500"
"2017-12-27","Onion","640","Phagwara","3","Punjab","36","Kapurthala","Other","2706","2960","2833"
"2017-12-27","Onion","1582","Dinanagar","3","Punjab","35","Gurdaspur","Other","3200","3300","3250"
"2017-12-27","Onion","625","Pathankot","3","Punjab","35","Gurdaspur","Other","2500","2700","2600"
"2017-12-27","Onion","624","Patti","3","Punjab","50","Tarn Taran","Other","3000","3200","3100"
"2017-12-27","Onion","1602","Dharamkot","3","Punjab","42","Moga","Other","3500","4000","4000"
"2017-12-27","Onion","626","Gurdaspur","3","Punjab","35","Gurdaspur","Other","3000","3200","3100"
"2017-12-27","Onion","1580","Makhu","3","Punjab","43","Firozpur","Other","3500","3700","3600"
"2017-12-27","Onion","237","Khanna","3","Punjab","41","Ludhiana","Other","2000","3000","2600"
"2017-12-27","Onion","238","Jagraon","3","Punjab","41","Ludhiana","Other","3000","3500","3200"
"2017-12-27","Onion","632","Faridkot","3","Punjab","45","Faridkot","Onion","3000","3400","3200"
"2017-12-27","Onion","1589","Adampur","3","Punjab","37","Jalandhar","Other","3100","3200","3200"
"2017-12-27","Onion","646","Anandpur Sahib","3","Punjab","51","Rupnagar","Nasik","4000","4200","4100"
"2017-12-27","Onion","251","Bhawanigarh","3","Punjab","53","Sangrur","Other","2800","3000","2900"
"2017-12-27","Onion","631","Raman","3","Punjab","46","Bathinda","Other","3000","3200","3150"
"2017-12-27","Onion","248","Dhuri","3","Punjab","53","Sangrur","Other","2800","3200","3000"
"2017-12-27","Onion","1733","Talwandi Sabo","3","Punjab","46","Bathinda","Other","3500","3700","3600"
"2017-12-27","Onion","1739","F.G.Churian","3","Punjab","35","Gurdaspur","Onion","2900","3200","3000"
"2017-12-27","Onion","1581","Zira","3","Punjab","43","Firozpur","Medium","2500","3500","3000"
"2017-12-27","Onion","1587","Garh Shankar","3","Punjab","38","Hoshiarpur","Other","3000","3700","3500"
"2017-12-27","Onion","2883","Amritsar(Amritsar Mewa Mandi)","3","Punjab","49","Amritsar","Onion","1700","3100","2300"
"2017-12-27","Onion","2875","Nawan Shahar(Subzi Mandi)","3","Punjab","39","Shahid Bhagat Singh Nagar","Other","2500","3500","3120"
"2017-12-27","Onion","1751","Dera Bassi","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","3200","3600","3400"
"2017-12-27","Onion","1612","Kharar","3","Punjab","52","Sahibzada Ajit Singh Nagar","Other","2500","3400","2800"
